2025-08-18 14:11:46 [WARN]: ⚠️ POST /news/02450fe6-7e2b-4d0e-8f2f-c6692da9b37/favorite | Status: 400 | 1438ms
2025-08-18 18:13:59 [WARN]: ⚠️ GET /news | Status: 401 | 6ms
2025-08-18 18:15:00 [WARN]: ⚠️ GET /news/search/USA%20and%20Russia | Status: 404 | 3ms
2025-08-20 13:59:58 [WARN]: ⚠️ POST /users/signup | Status: 400 | 5ms
2025-08-20 13:59:59 [WARN]: ⚠️ POST /users/login | Status: 401 | 53ms
2025-08-20 13:59:59 [WARN]: ⚠️ GET /users/preferences | Status: 401 | 1ms
2025-08-20 14:00:06 [WARN]: ⚠️ GET /news | Status: 401 | 1ms
2025-08-20 14:01:34 [WARN]: ⚠️ POST /users/signup | Status: 400 | 15ms
2025-08-20 14:01:34 [WARN]: ⚠️ POST /users/signup | Status: 400 | 4ms
2025-08-20 14:01:34 [WARN]: ⚠️ POST /users/login | Status: 401 | 55ms
2025-08-20 14:01:34 [WARN]: ⚠️ GET /users/preferences | Status: 401 | 0ms
2025-08-20 14:01:36 [WARN]: ⚠️ GET /news | Status: 401 | 1ms
